"score","city","title","review"
"4","Boone","Tha BOMB of a book!!","L.J. Smith is the best author in the whole world. I read this book a year ago but I can't stop reading it. It is beyond sweet. I love Ash.The entire Night World seris is the bomb. I read mostly everyone of L.J Smiths book and they all are awesome. I think Ash and Mary Lynetee are one of the sweetest soulmates. I loved how they tried to fight there feelings but couldn't. There should be real guys like Ash"
"4","Purcellville","This book was a great book that i have read many times!","This book was so great! I loved and read it so many times that i will soon have to buy a new copy because my last one fell apart. I just hope that there is a follow up on this story because I want to know if Mary-Lynette and Ash get together."
"3","Hartford","They'd watch it nonstop if I'd let them","apart from it arriving broken the first time"
"2","Kannapolis","Not as expected...","My children get easily bored with this video. I thought it was several episodes of Thomas but it has A LOT of just children and parents talking about Thomas and all. It doesn't keep the kids attention because what kid wants to sit and listen to a bunch of talking. This was my first Thomas video purchase...hopefully the next will have more shows and less talking!"
"4","Arlington","Wonderful","I went online for information about Dockers Khaki pants. The size my husband wears are very hard to find in stores. I was very impressed with the selection I had and he was thrilled to have all these pants without having them taken up in the length. The delivery was quick (especially during Christmas) and I really appreciate all the effort made to send us the selections we chose."
"2","Hernando","Doublecharged for shipping because merchant was backordered","Merchant was out of stock on the second pair of pants"
"4","North Fayette","Book of Chance","I had just finished reading 'The Food of Love' by Anthony Capella since I had nothing to do"
"2","Norton","Light reading"," light in substance"
"4","Ridgefield Park","WeiB FOREVER!","This is a great CD!! I love WeiB Kreuz!! The anime is awsome! Its bout 4 guys (hhhooottt) who work at a flower shop"
"2","Indian Trail","Great Book--unacceptable condition","I was looking forward to receiving this book"
"3","Pine Ridge","Real HTML for people who build sites for a living","This book is simply great! If you build sites for a living you probably struggle with books that trivialize HTML and present its syntax willy-nilly. This book is the ONLY book I've ever seen that actually seems to be written by someone who builds sites professionally and wants to know all the markup. It explains logical and physical tagging styles well and does a really good job showing how to hook HTML with other technologies without trying to teach CGI"
"4","Gardner","Marriage has its good and bad moments","This is a tear-jerker mixed with humor. A lot of rough patches for this couple but don't let that scare you off because there are also a lot of good times"
"3","Muskego","Amazing...","love it...very touch.it's to bad that in the dvd description doesn't mention no subtitles"
"4","Vestal","Leslie in a nutshell","Danelectro DJ-20C Rocky Road Spin Speaker Mini Effects Pedal"
"3","Red Oak","More Romance Please and Less Mystery!!","the reason i gave two stars when I usually give 5 stars for ms. feehan's books is b/c this book was tooooooo mystery/gothic genre rather than romance. I really didn't feel like the two main characters were in love"
"2","San Pablo","A Lost Author","I have read all of the Carpathian novels to date"
"1","Yorktown","Okay but Messy....","We purchased this bag for a vacation we were taking a cruise and we wanted to use it when we left the ship. The bag was convenient to carry"
"5","Liberty Triangle","Patricia Cornwell has turned me into a reader","I was never really a big reader before and somebody put me on to Patricia Cornwell. Well"
"4","Moraga","Best of the First Four in this series.","This is an awesome book. Kay just keeps getting better and better. It's also fun to see the characters develop more with each book - Kay herself as she seems to be always one against the world"
"5","Raymore","Great Beginning...poor ending","Parricia Corwell"
"2","Walla Walla","12 Y/O Potty Humor From 40 somethings does not a comedy make....","Saw this movie and felt compelled to warn people not to waste 144 agonizing minutes of their lives. In a nutshell"
"2","East Stroudsburg","I wish Adam Sandler wasn't in this.","I should have known going into this movie having Judd Apatow a part of it would mean I would hate it. However"
"4","Orange City","Wonderful"," baffling mix"
"4","Sweetwater","No another grill like this...","This grill is one of its kind...It can be use anywhere without so much hard work..it fits snugly anywhere...."
"3","Broadview Park","Disappointment at it's extreme","I had never read this author"
"3","San Jose","From Potter's Field by Patricia Cornwell.","This was a very good book with excellent descriptions. It's a real page turner and keeps you wondering what's going to happen next. The best parts are at the very beggining and the end."
"4","Storm Lake","An Engrossing and Chilling Read","My first foray into the novels of Patricia Cornwell has left me impressed. The characters were intense and realistic. My only concern is that the evil Temple Gault at the end of the novel is as vague as he was in the beginning. Why did he decide to trail and give gifts to Dr. Scarpetta? Needless to say"
"3","Huntersville","great book. i loved it! they mentioned a movie"," where is it?"
"4","Hamilton","Simply Awesome!","This was only my first Cornwell novel and I'm hooked! In the past few months I have managed to collect all of her books and I can't wait to dive into them! This summer will be a suspensful one for Scarpetta and I."
"3","Stroud","Predictable & has a lame ending","I have read all of the Scarpetta novels & this is not the worst (that would be Cause of Death) but rt. up there. I thought the story began well enough"
"4","Petal","Black Knight C2C Heat Squash Racquet","Great racquet! But I'm a power hitter I have no power Generating Difficulty With This racquet. My style is to try to volleyball and everything I've found this racquet to well balanced and maneuvered. I like the factory grip although with distinct ridges Others prefer a smooth grip May - give the factory grip on chance and you May Come to like it. The sale prices are right for a high About end racquet"
"2","Hopewell","A historical gem whose title obscures its intent","Started laughing in the second chapter....enjoyed the book after I realized that I wasn't going to learn anything new. It's obviously a miracle that we survived for the 65 years since it was first published.And seeing that the pending insolvency of the US was as loudly shouted in the 40's as it is now was worth the price. This book had quotes that would shame both modern day political extremes in the US.Kudos to whoever owns the copyright --- now there's economics in action."
"1","East Providence","Vastly overrated work of fiction","I was sorely disappointed in this vapid and smarmy demogoguery. Sure"
"3","New Richmond","sergeant frosts lonely hearts club band","edith has created a venue for herself to exorcise melancholic memories with painful melodies. there are no disguises on this collection. lonesome guitars and medicinal piano radiate the mood of broken spirits. she writes all her own songs. these ballads are definite reminders of those unbearable moments we all have to live. they are all gray sky"
"4","Superior","Great Camera","I recently purchased this camera and I'm very satisfied with it. I find the quality of the pictures with this camera as good if not better than anything else without going to digital. It is very comfortable to hold and the controls are easy to use. I highly reccomend this product to anyone looking for a top quality camera at an affordable price. Nice going Sony!"
"2","Wall","Had to return it","The sizing is perfect and a medium fits just right. I am 5'2 size 4 137 lbs before baby and i gained about 35 lbs during pregnancy"
"1","Paducah","Broke the 2nd time I wore it"," great until then"
"3","Troy","The amazing squeem","I love love love the squeem!!! The before and after pictures are definitely real!!! You can immediately tell the difference when you put it on it definitely improves your posture"
"4","Napa","Great Product","A friend recommended this product to flatten the tummy for great look in a dress. I brought a medium according to the measurement guide lines but I needed a small. It was extremely difficult to put on so I needed assistance. Once it was on I was still able to contract my core"
"4","Waukesha","I recommend ordering a size or 2 larger than your regular size.","I ordered the Squeem waist shaper in a size small...my general size is 4-6"
"2","Lansdowne","WASTE OF MONEY: The inner metal rods keep poking through","The squeem is a great idea but the construction is not the best. While the product compresses your stomach"
"3","Celina","CAUSES BRUISING AND BLISTERS IF WORN TOO LONG","I ordered this product to slim down my stomach. I was looking for something I could wear all day with my jeans as well as underneath my dresses. I wore the squeem to work occasionally and then I would take it off when I got home. When I would take it off"
"1","Bethel Park","Not happy","I was really unhappy with this. I followed what others said and ordered based on my prepregnancy size. It was WAY too small at 7 weeks post-pardum. I'm ten weeks post-pardum and may try it again but it was a real self-esteem crusher initially. I'm a size 0 pre-pregnancy and so I thought it was fair to order the XS but I guess not."
"2","El Segundo","nice product","My wife loves it but we unfortunately perchaced the wrong size. She made a coment about the sizing chart being in dress sizes and she picked the size she is and we received it and the apparel was way too small. We have been meaning to exchange it but its tough to get time being as we have new born twins. That's why she wanted the apparel. She was really excited to receive the part and was disappointed when it didn't fit."
"5","Mendota","Does the job","I have been looking for something to hold in my stomach that wasn't elastic based. Found this item and have to say I am pretty pleased. The hooks do take a while"
"1","Keystone","conspiracy theorist","The author is very likely a Kurdish nationalist"
"2","San Mateo","Another disappointment from Higgins","This novella (stretched to 271 pages by wide margins and double-spaced lines) reads like a screenplay treatment. There is very little character development"
"3","Rolesville","1"," and thats being generous...."
"5","East Lampeter","Good matt nude lipstick","It's got a nice warm scent of vanilla-like smell. Texture is creamy. Meadow Sweet is a nice nude color. Can't apply too much or else it'll look a bit dry."
"5","Brighton","I would sell it -- book complete with dust cover. Excellent","West is only fairly judged by the breadth of his work. He has a special view of human nature and all its weaknesses."
"3","East Peoria","A welcomed change from the frozen plains of Europe","A refreshing"
"1","Schenectady","where does the Novel begin?","I found it preachy and long and got.very bored to claw my way through the very wordy prologue.Then tried to find the.actual novelFinally gave up!!!"
"3","Lakeland","Avoid it.","The abridged version of this book would read as so:Sin is inevitable. So make the best of bad situations. And oh by the way... women are strong.There ya go. Nuff said. I don't need to read obnoxiously long sentences lamenting on one sentiment for the entire 160 odd pages or so of this travesty. The entire book is just one big complaint. From the girl who commits adultery. She laments about it for the whole stinking book and puts up with some obnoxious kid the for whole thing as well. Painfully thick language"
"3","Angola","ok...","this book was recommend 2 me from my neighbor. but i dont think that dis is dat gud of a book 2 recommend... i didnt like it 2 much but..."
"4","West Linn","The Scarlet Letter","I really enjoyed this book. It shows the judgmental tendencies in our human race and how one woman strove to live a life of service to others to gain redemption for her mistake. Can't go wrong with the classics."
"1","Greenville","This edition is not complete","This review refers to ISBN 978-1613823613. With no explanation or indication that it is doing so"
"4","West Goshen","Creepy","The creepiest book I've ever read! It's a creepy mystery/romance all in one creepy book! I would read it again lol"
"2","Glenpool","A book for those with time on their hands","If this book is so great"
"1","Pontiac","Painful","This book has to be one of the most tedious works of literature ever written. Hawthorne is a great writer"
"4","College Station","Great novel","The Scarlet Letter by Nathaniel Hawthorne is a great novel. It takes place in Boston"
"2","South Daytona","Horrible reader","i couldn't listen to this book because the women reading it has such a screechy horrible voice so i can give no review of the actual book but whatever you do try to find a version with a different reader if you're into audio books"
"2","Winchester","Mistake?","I ordered the Penguin edition for this book five weeks before my grad class started. It was very important to have the correct edition for proper pagination. I PAID for the Penguin edition. I GOT the $2 Dover Thrift edition three weeks later. When I called the distributor"
"4","Haledon","The Scarlet Letter","Much to my amazement"
"4","Red Hook","The Scarlet Letter a must read for any American","The best book that I have ever been assigned to read for school by far. The way in which Hawthorne captures the shame that Hetser "
"1","Athens","The Scarlet Letter: A soap opera","Although this book"
"4","Prunedale","This book is Great!","One might notice that many of the negative reviews of this book contain horrible grammer and multiple spelling errors. Although I respect those who disliked The Scarlet Letter"
"2","Lake Mohawk","I had to read it...","I had to read this book for school. I did not like it. I'm not sure what the point is of this story; several people hae told me what they think it is but I dont agree and they dont agree with each other."
"3","College Park","Possibly the funniest movie ever made.","It starts off a bit slow"
"3","Sioux Falls","same problems as munchkin version","Ditto to other complaints - won't separate easily- either by unscrewing or prizing. Cheap"
"5","Oak Creek","Sassy Baby Warming Dish. Interesting concept.","We tried the Baby warming dish. We found that for our 1 year old it was pretty small"
"2","Lake Butler","Unreadable!","As good as this book may be"
"2","Leland","Used for circuits project","I used the generator for a circuits project and it works pretty well with little resistance"
"2","Tracy","Two Tedious Hours","The early success of Adam Sandler's films gave him this mistaken impression that he was an actor and a writer. This film proves he is neither - and a grating voice-over guy to boot. I enjoyed Happy Gilmore and to a much lesser degree"
"1","Rainbow City","one of the worst movies of 2002","god!!! what a dumb movie. the fact that Adam Sandler can do this is just wrong....never lives up to what if true and it down right smells like cheese....sick and demented jokes dont help its premise...though Whitey gets a few lifes...nicely animated but a poor outcome. think of this as a guide beofer watching it...Jon Lovitz"
"3","Methuen Town","Fantastic","A movie that makes you feel a lot better about the holidays. Although not a childish movie"
"2","Bethel","very disappointing","The movie is vulgar and not meant for children. It is a typical Adam Sandler movie"
"2","Audubon","Sandler Strikes Out","8 Crazy Nights might have been a sweet film with a good message for kids"
"2","Diamondhead","Not the worst"," but far from good"
"3","Laurinburg","Been waiting for a foreign lauguage AOL CD?","I have"
"3","Selma","It Rises above the Fluff Books","The first thing that struck me was that it was easy to read. The print was readable and the illustrations were helpful. I did also find some grammatical errors as an earlier review said. But mostly it was very specific and practical. The chapters most helpful were on emotional states and music. It's hard to find a book on this subject that's across the board"
"5","Felida","Itten The Elements of Color","I was so very pleased to review the art book which arrived in pristine condition. I would have rated it in Excellent condition"
"4","Quincy","great IMO","First of all"
"4","Woodbridge","I wish...","...i had never heard Fair to Midland before hearing this music but cant help making comparisons. It is still wonderful music and Ill explore it further..."
"4","Perryton","Good follow-up to El Cielo.","A bit of a change this time for Dredg"
"1","Fairmount","WOW!","This book really bothers me. If you are a parent trying to deal with the daily struggles of having a child with a disability"
"5","West Warwick","80s Hard Rock","One of the 80s rock bands that capture my ears!!! It's pity that they are almost retiring soon..."
"2","Marlboro Village","Low class effort by High Class Band","This material represents why the 80's died"
"4","Justice","Good Quality Cell Phone Holder","Contrary to other review"
"3","Berlin","Loved it!","I LOVE Christmas movies and these are some of my favorites! I always bring them out when I am decorating and start enjoying the holidays!"
"4","Mount Holly","Charlie Brown Christmas was a Great Christmas Gift!","I gave this movie to a co-worker who loves all the Charlie Brown classics that are shown on TV. She was thrilled when she opened it!"
"4","East Fishkill","There is no way anyone with a soul could ever give this a negative review....","This is one of the sweetest"
"4","Cortlandt","I ought to slug those R movie loving critics! They don't know entertainment as Krusty would say","I do love Charlie Brown's Christmas"
"5","Plattekill","Charlie Brown Christmas","One of my favorite Christmas shows of all time! Great service from the provider."
"3","Bristol","Proof that good things are built to last","When Mr. Schulz and Bill Melendez decided to launch this half-hour special for TV there were many things against the odds: The music"
"4","Woodburn","great Christmas gift","This is a classic Christmas tale and was a wonderful gift. I bought it for my friend and she said she will watch it every year."
"3","Santa Clara","Yahoo for Charlie Brown","Being able to watch something like A Charlie Brown Christmas whenever I want is so soothing to the soul. Especially since I get really busy around the holidays and can't always catch it on TV."
"3","Garner","The Best Present Of All","My children are a little old (age-wise) for this"
"5","Bothell West","Classic","Watched this with my two year old daughter for the first time this Christmas. It was nice to watch a classic movie that I grew up watching as a kid myself"
"2","Neenah","Not a real Rammstein album.","Bootleg collection of b-sides"
"2","Topeka","After a few months- broken","This charger worked fine for a few months"
"4","South St. Paul","Works great"," and half the price"
"5","Arcadia","This is a good product!","When my Mac Powerbook G4's cord started going on the fritz a year and a half after I had gotten my laptop"
"5","Fayetteville","Quite Satisfactory","This product works well"
"4","Lithia Springs","Great product at a great price","A replacement adapter for my 4-year-old G4 Powerbook was going to cost $80 from Apple. The Macally adapter is less than half the price"
"4","Henderson","Excellent Item!","I miss the lighted ring telling you that the charger is charging"
"2","Walker Mill","Off and on","Its hard to find these types of chargers since Mac switched to the magnetic type. Its hit and miss with the working. My battery indicator switches from charging to not in a blinking fashion."
"2","Beaver Falls","Cheap"," Doesn't charge"
"4","Orangeburg","So much better than the apple version!","I love it"
"4","Noblesville","Good product at reasonable price","Though the output of this power supply is lower than the Apple supply"
"2","Warwick","If you're tempted to throw away $30....","I bought this charger near the end of May of this year and it stopped working about 2 weeks ago. It is not the same charger as in the picture with the gray cord. It looks just like most of the other generic chargers available on Amazon. It charges quite slowly (ibook g4 14). I have a brand new APPLE brand battery"
"2","Socorro","Plug DOESN'T work with the iBook G4","This product is advertised to work with the iBook G4"
"2","Three Lakes","Stopped Working Day 3","Out of the difficult to open package"
"5","Exeter","Another Binchy Great","This book takes a typical family"
"3","Atlantic City","TU VIDA JAMAS VOLVERA A SER LA MISMA","Despues de leer este maravilloso libro mi manera de ver la vida es muy diferente"
"4","Palm Harbor","Deep view of what counts for run and growing an organization","I will say that the concept this book adds of playing with future is the utmost importance for many of us who were tough by experience to survive and keep it running. The most important thing about work is to get it done...if not...it equals all us..we all lose That does not help a lot any organization. This books deals about how to get it done self sustained and fruitfull"
"2","Independence","book only"," no jacks"
"4","Albany","Thomas connector tracks","The Thomas wooden track connector pieces is just what was needed when setting up different designs. Sometimes when setting up a new design my 4 year old grandson whould end up with no way to connect the finish. These pieces have helped with that problem."
"3","Raymore","Plain and Simple: A Journey to the Amish","This is a very disapointing book. The author makes the complexe Amish community that forgave the muders of their young daughters at Nickle Mine school into one diminsional Disney characters. There is no tension"
"1","Sunrise Manor","Disturbing.","If you are looking for a book on Amish theology"
"2","Syracuse","Not Very good","I dont advise buying this grider"
"3","Clarksville","Cannot adjust for coarseness","The description says you can adjust for coarseness of the salt/pepper"
"4","Dodge City","Solid Effort...But Missing a Spark","Statheads and fantasy players know that the value of this book is to be found in its statistics and projections for future performances. Anyone playing in a long-term keeper league will benefit by keeping this near them on draft day as they look for prospects to take flyers on. The stats in this book are as good as ever"
"3","Cheval","My Girl Likes It","My two and half years old girl likes it so much"
"4","Prairie Village","Still a great book","The Winds of light books are great! This one is no exception"
"2","Ramapo","I could have spent my money better","This book did not move me at all. The plot is unrealistic and the characters are shallow; they do not seem like real people at all."
"3","Chalmette","Terrific Reference for Identifying Butterflies","Is that a monarch"
"4","Oakley","Climalite works as intended","More visually interesting than plain white"
"3","Sioux Falls","A Man of Reason","At the height of The Age of Reason"
"4","Farmington","I was there","I liked the way Butler filled in the history of the Queen Mary andQueen Elizabeth.He also told a very good clear picture of lifewe lived aboard ship. On page 92 second phargaph tells of a March1945 crossing . I was on that passage and well remember hearingthe depth charges explodimg.I still have my white tag and cabinwith number on D deck.To verify my memory I checked my discharge and called our coplit yes he remembered hearing the depth charges.This tolded of the vital roll these two great ships played inwinning of the war.Many of these things where new to me and I was there."
"5","Maywood","Course Book","Well it is only for my course called fundamnetals of socal research but its very expensive indeed. Just wanted the first to make a comment thats all."
"4","Ocean Acres","Leadership Made Spiritual","Maxwell succeeds in creating a new way to experience leadership principles and the bible. I have used this as a guide for my youth group's leadership program (highshcool juniors and seniors) and it has been perfect. This is an excellent gift idea for anyone who has interest in leadership and believes their christain faith is critical to their approach."
"3","Dublin","Absolutely incredible","I was so happy with Dolly's Hungry Again"
"4","Indianapolis","Has-Been? THINK AGAIN!","As a child"
"2","East Niles","Band saves CD","As usual"
"4","Centennial","Almost perfect CD","The only reason I am giving this CD 4 stars instead of 5"
"3","Arkadelphia","The Castle in the Attic","I would recommend this book to any kids who love a great adventure. I was on the edge of my seat the whole way through the book. I especially loved the Silver Knight and how he became friends with William. Go get this book!"
"4","Folsom","non stop adventure","This was a great and is very magical. A young boy's nanny is leaving and gives him a small castal as a going away present but it turns out that the night that came w/the castal is a real night that has been shrunken and turned to stone. The young boy breaks the spell that an evil sorcerer has put on the night and goes back to his time to stop the wrong that the sorcerer is doing. Will he stop the evil sorcerer or will the evil sorcerer stop him"
"2","Hernando","worst book in the world!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","This was the worst book I have ever read in my entire life! I was forced to read it for school. It was complicated and very boring. I would not recommend this book to anyone!! Please don't waste your time and money to read this book!! Read something else!!"
"3","Richland","One of my favorites as a kid","I loved this book when I was about eight years old"
"5","Hillside","excellent","Good price"
"4","Cedar Falls","Best witch book i've ever read!!!","Spellbinder was the 1st Night World book I have ever read.I recomended this book to ALL my friends"
"2","Lakewood Park","Maybe next time...","I"
"3","Lovington","To many issues","The story is very interesting and the action and enemies are awesome"
"2","Fort Lee","Lara should have remained in the tomb","I was so looking forward to this game being released"
"3","Holyoke","Angel of darkness is correct","This game is the angel of darkness - THe control system is impossible - The menu screens are ridiculous and bulky to manage - I have played all the tomb raider games - This one is near to unplayable - This thing went straight to EBAY - save your money for something good - THE TR people need to do something fresh with this character like send her to space or something - jeez - the franchise is getting old and stale due to lack of innovation and change."
"2","Urbandale","Great Work"," Poorly Organized Kindle Book"
"3","Fife","this will interest children in insects","This would be a great book for use in elementary school science classes. It has a wonderful layout"
"2","Hutchinson","Good"," but only to the midway point"
"2","Lilburn","a terrible product","this is not well manufactured i recieved it in a timely manner. but the product is poorly constructed my husbandand i put it together easily but the cotter key to hold on the wheels are made of flimsy material"
"3","Kaysville","BUYER BEWARE","This is the biggest waste of money I have spent in a long time. It didn't even make it through one bag of leaves. I would demand my money back but it would cost too much to send back. Can't believe Amazon still has this piece of trash in their online shopping department. Take my advice and save your money!!!!!I would have given it no stars but didn't have that option. In my opinion it rates 00000 stars...."
"3","Mobile","Didactic melodrama","I have read enough to know when I'm being preached to"
"3","Lloyd","Well"," not everything"
"1","Kingsville","Software is Horrible!","This software is not user friendly. The samples don't help. I would imagine that if I sat down for a few hundred hours I could figure out were the dots go. The whole interface just doesn't make any sense. It's very time consuming. Total waste of 30 dollars at the Apple store."
"3","Tehachapi","Biography of Wright and his works","Easy reading book which I would recommend for those who want a sort of executive summary of the story behind Wright and his works. Having said this"
"5","South Abington","The Top Ten List for Christians byJames W. Moore","A bit simplistic at times"
"4","Florence","Live it","Still have this works great my food is kept fresh inside the dome"
"2","Mountlake Terrace","elem diff e-q's","While the shipping was AMAZING"
"5","Baytown","This is really cool!","This is a really cool record to own. My Favorite Muffs albums are Happy Birthday To Me and Alert Today Alive Tomorrow so I like their later material. This Hambuger is a lot of early stuff and some later but I really like it. I think its cronilogical and its interesting to hear how they've improved with time. Good cd!"
"2","Shelbyville","Very Disappointing.","I was hoping that this band would have evolved in some or any degree over the past decade"
"4","Picnic Point","A carefully constructed read.","This book is structured such that on all the even pages there are a short pithy quotes that summarize the textaul body of the book on the odd pages. The book is written in the style of a manual so that you can dip into it at any point with no need to refer to material that came before.The basic thesis of the book is if you want to enjoy life you have to place one hand on the tiller and steer yourself towards the people"
"2","West Odessa","Poor quality and high price... are these knock-offs?","I ordered two in Cowboy Slim Cut 33x34. I already had some Wranglers. The waist was way too small"
"3","Mahwah","Almost perfect","Stockings are not easy to find where I live in Northern California and I cannot stand to wear panty hose. I decided to try these stockings that was recommended by the site I used to find a garter belt. I really like the stockings. They are darker black than the picture depicts them. I prefer off-black. The lace top is a little tight with not too much stretch"
"1","Delray Beach","Not Stainless","These may look like brushed stainless steel but they are not. The magnet that is glued to the back of these is about 3/8 and will not hold anything heavier than a very light potholder. I tried hanging an apron on it and it fell to the bottom of the refrigerator. If you are crafty and can remove this tiny magnet and attach a larger"
"3","Palm Beach","The meaning of God"," the meaning of life."
"2","Glocester","What a disappointment!","I am a big Belva Plain fan and have always enjoyed her books. After the Fire is a disappointing read. What bothered me the most is the character of Hyacinth-what a weak and stupid woman! She is not believable at all. Any mother will fight to the end for her children. I kept hoping she would snap out of it"
"2","Bayou Cane","You get what you pay for.","I was expecting a bigger set so was surprised at how small it was. I should have spent more for a better set"
"2","Plainedge","junk!","Don't buy this! Didn't even come with all the screws. You could build a better set with twigs. Skip it."
"4","Parkville","fireplace tool set","Good product. Got it in a timely manner. Does exactly what it is supposed to do. Not too expensive and just as good as the rest of the tools that are over priced. The tools work great and have been used a lot this winter."
"2","Rotonda","Failed to Work","I was unable to get this game to work in Windows Vista. I inquired about a patch but did not receive a response."
"5","Nolensville","Long Hot Summer","Sweet Dream Baby by Sterling WatsonOn a sultry summer river"
"2","Crofton","Mathematical nonsense","Mathematically speaking"
"1","Spencer","Boring ...","I bought the book because I read the review and it look interesting and funny. But after the first pages"
"2","Clearfield","Stuck With You","I didn't really like the book. If the author didn't write the sex portion of the book"
"4","East Honolulu","None","Awesome.... simply awesome. I couldn't put this down and laughed"
"3","Minnehaha","Witty and clever.","This was a really fun read. The dialogue was witty and clever. I really enjoyed the progression of the romance. It probably could have been tied up a little sooner. The last 10th of the book kind of drags out the story with storyline that should have been introduced sooner or ended before it was introduced. I do wish more of Nick and Rachel's storyline had been included"
"4","Victor","Glorify Thy Name w/ Kent Henry","Great! This is a Kent Henry praise and worship classic - you can not go wrong with this one. Do not sleep on Kent Henry. I've mentioned in previous reviews that he is one of my favorite praise and worship leaders. This man is gifted"
"3","University Place","lousy"," outdated guide"
"2","Smithfield","Still yet to recieve","I am still yet to receive these items that I purchased 4 months ago. I've tried everything to track where they might be but no success!!!"
"4","Seabrook","Big things in small package","When I purchased this small hardcover book"
"1","St. Marys","broken :(","The base and frame were not completely attached. Fixed with a little glue. My friend loved it after that."
"2","Placerville","Lousy RF range; ON worked from further away than OFF","The range of use was practically useless. I could get about 10 - 15 feet of range for the ON button"
"3","Batavia","Left me feeling wanting.........","Somehow"
"4","Placentia","Gun Digest 1911 Review","This was purchased as a Christmas gift. Excellent tutorial and very entertaining. The detailed discriptions and the pictures were informative. I spoke with the recipient of the gift after Christmas and he agreed. I really appreciate Amazon's speedy service."
"1","Jacksonville Beach","THIS CD SUCKX!!!!!!!!!!!!!!","I WAS LISTENING TO THIS CD AT MY FRIENDS HOUSE"
"4","Yukon","Nice but Sony must give us more info","This is a very nice tripod"
